status;colorA.hue;colorA.saturation;colorB.hue;colorB.saturation;globalBrightness
isNight;0;0;0;0;-25
isDawn;10;0;10;0;0
isMorning;0;10;0;10;10
isLight;30;20;30;20;0
isDay;0;0;0;0;0
isAfternoon;20;0;20;0;-10
isDusk;15;0;15;0;-10
isEvening;0;0;0;0;-15
isDark;0;0;0;0;-12
isAM;0;0;0;0;0
isPM;0;0;0;0;0
isSpring;-15;10;-15;10;0
isSummer;15;5;15;5;0
isAutumn;25;-10;25;-10;0
isWinter;-30;-15;-30;-15;0
isFreezing;-40;-20;-40;-20;0
isCold;-20;-10;-20;-10;0
isMild;0;0;0;0;0
isWarm;15;5;15;5;0
isHot;30;15;30;15;0
isMonday;0;0;0;0;0
isTuesday;33;33;33;33;33
isWednesday;0;0;0;0;0
isThursday;0;0;0;0;0
isFriday;0;0;0;0;0
isSaturday;0;0;0;0;0
isSunday;0;0;0;0;0
isWeekend;0;10;0;10;0
isNewMoon;10;0;10;44;0
isWaxing;0;0;0;0;0
isFullMoon;-10;0;-10;0;0
isWaning;-9;0;0;0;0
