# active_color=1
light_colors_id;light_colors_name;rgb1_hex;rgb2_hex;cnf
1;Amber-Dark Brown;#FF7F00;#552200;2.2675
2;Azure-Dark Teal;#007FFF;#005552;2.4154
4;Purple-Dark Magenta;#800080;#400040;7.7723
5;Yellow-Light Cream;#FFFF00;#FAFACB;1.0778
7;Hot Pink-Dark Rose;#FF69B4;#AA3355;1.9226
8;Cyan-Dark Teal;#00FFFF;#005555;1.5875
10;White-Light Gray;#FFFFFF;#AAAAAA;1.0000
12;Lime-Dark Green;#32CD32;#116611;1.7809
13;Magenta-Dark Purple;#FF00FF;#550055;4.3890
14;Orange-Dark Brown;#FFA500;#553300;1.8742
15;Teal-Dark Cyan;#008080;#004444;2.7538
16;Lavender-Light Purple;#E6E6FA;#AAAAFF;1.0427
17;Crimson-Dark Red;#DC143C;#551111;4.3876
18;Gold-Dark Yellow;#FFD700;#AAAA00;1.1621
23;Coral-Dark Maroon;#FF7F50;#552233;2.1586
25;Mint-Green;#98FF98;#33AA33;1.1748
26;Peach-Light Brown;#FFDAB9;#AA7744;1.2155
27;Sapphire-Navy;#0F52BA;#052A55;3.7777
30;Emerald-Dark Green;#50C878;#227744;1.5980
31;Light Pink-Rose;#FFB6C1;#AA5566;1.4044
32;Red-Magenta;#FF0000;#FF00FF;1.0000
33;Cyan-Blue;#00FFFF;#0000FF;1.0000
34;Periwinkle-Blue;#F5F5F8;#6565F6;1.4223
35;Crimson-Hot Pink;#DC143C;#FF69B4;4.3876
36;Olive-Dark Green;#808000;#444400;2.3371
37;Sky Blue-Steel Blue;#87CEEB;#4488AA;1.3407
38;Plum-Dark Purple;#DDA0DD;#AA55AA;1.4830
39;Amber-Red;#FF7F00;#FF0000;2.9120
42;White-Red;#FFFFFF;#FF0000;1.3745
43;Blue-Violet;#1482FF;#7A17FF;2.4088
