# active_pattern=30
light_pattern_id;light_pattern_name;color_cycle_sec;bright_cycle_sec;fade_width;min_brightness;gradient_speed;center_x;center_y;radius;window_width;radius_osc;x_amp;y_amp;x_cycle_sec;y_cycle_sec
1;Misty Bloom;18;14;99.000;12;0.600;0.000;0.000;22.000;24;4.000;3.500;2.500;22;20
2;Slow Breathing;30;28;16.000;8;0.300;22.000;0.000;18.000;28;2.000;2.000;2.000;32;34
3;Rapid Sparks;8;6;44.000;20;1.200;33.000;0.000;10.000;14;6.000;5.000;55.000;9;11
4;Wide Sweep;20;18;11.000;12;0.600;44.000;-4.000;40.000;48;7.000;8.000;5.000;26;24
5;Calm Center;24;18;66.000;4;0.200;2.000;3.000;55.000;12;12.000;4.000;77.000;77;66
6;Energetic Pulse;12;10;77.000;16;0.801;66.000;11.000;16.000;20;4.000;3.000;66.000;16;18
7;Radiant Glow;16;14;10.000;10;0.401;77.000;22.000;20.000;26;2.500;2.500;3.000;28;30
8;Twinkling Stars;10;8;55.000;18;1.002;22.000;11.000;12.000;16;5.000;4.000;6.000;12;14
9;Gentle Waves;22;20;12.000;8;0.301;11.000;22.000;55.000;32;3.500;44.000;3.500;30;28
10;Vibrant Flash;6;4;33.000;22;1.505;22.000;11.000;6.000;8;7.000;6.000;8.000;8;10
11;Pulsing Halo;14;12;22.000;14;0.501;44.000;55.000;14.000;18;11.000;66.000;4.000;20;22
12;Dynamic Flow;18;16;11.000;10;0.602;4.000;4.000;22.000;26;3.000;5.000;66.000;24;26
13;Serene Fade;26;22;15.000;6;0.200;34.000;56.000;30.000;36;21.000;2.000;2.000;36;38
14;Lively Sparkle;9;7;44.000;20;1.204;56.000;34.000;14.000;18;8.000;7.000;44.000;14;16
15;Mystic Orbit;20;18;99.000;12;0.604;0.000;0.000;25.000;30;4.000;3.500;2.500;24;22
16;Soft Pulse;28;26;16.000;8;0.302;25.000;0.000;20.000;30;2.000;2.000;2.000;34;36
17;Quick Flicker;7;5;44.000;18;1.105;33.000;0.000;8.000;12;6.000;5.000;55.000;7;9
18;Broad Sweep;22;20;11.000;14;0.701;44.000;-4.000;45.000;54;7.000;8.000;5.000;28;26
19;Calm Radiance;26;20;66.000;4;0.201;2.000;3.000;60.000;14;12.000;4.000;77.000;77;66
20;Energetic Beat;10;8;77.000;16;0.802;66.000;11.000;18.000;22;4.000;3.000;66.000;18;20
21;Radiant Shine;14;12;10.000;10;0.401;77.000;22.000;25.000;30;2.500;2.500;3.000;30;32
22;Twinkling Lights;12;10;55.000;18;1.102;22.000;11.000;14.000;18;5.000;4.000;6.000;14;16
23;Gentle Ripples;24;22;12.000;8;0.302;11.000;22.000;60.000;36;3.500;44.000;3.500;32;30
24;Vibrant Blink;5;3;33.000;22;1.606;22.000;11.000;4.000;6;7.000;6.000;8.000;10;12
25;Stationary Split;255;255;8.000;128;0.000;0.000;0.000;0.000;1;0.000;0.000;0.000;255;255
26;Dancing Embers;16;14;22.000;14;0.502;44.000;55.000;18.000;22;11.000;66.000;4.000;22;24
27;Polar Lights;1;1;400.000;1;1.000;132.000;132.000;164.000;164;164.000;116.000;116.000;1;1
28;Fireworks;1;1;1.000;1;0.010;5.000;-1.000;164.000;164;164.000;116.000;116.000;120;120
29;Pulse;8;99;400.000;29;1.000;-33.000;4.500;45.500;69;164.000;30.000;104.000;2;8
30;Static Situation;255;255;208.000;122;0.010;14.500;19.000;0.000;1;0.000;0.000;0.000;255;255
