status;volume;fadeMs;themeBoxAdd
isNight;-40;12;5
isDawn;-20;8;3
isMorning;10;-10;1
isLight;5;-10;2
isDay;5;0;2
isAfternoon;3;5;1
isDusk;-10;8;4
isEvening;-30;14;6
isDark;-10;15;5
isAM;2;-5;3
isPM;-2;5;0
isSpring;5;-10;1
isSummer;8;-15;2
isAutumn;-3;10;3
isWinter;-5;8;4
isFreezing;-8;15;0
isCold;-3;10;0
isMild;13;0;1
isWarm;9;-5;2
isHot;5;-12;3
isMonday;-2;5;10
isTuesday;0;10;0
isWednesday;2;0;1
isThursday;-1;5;2
isFriday;20;-10;11
isSaturday;10;-5;19
isSunday;5;12;22
isWeekend;10;-5;5
isNewMoon;-5;8;3
isWaxing;3;16;1
isFullMoon;25;-10;9
isWaning;-3;10;2
