# active_color=1
light_colors_id;light_colors_name;rgb1_hex;rgb2_hex;cnf
1;Warm Sunset;#FF7F00;#552200;2.2675
2;Cool Ocean;#007FFF;#005552;2.4154
3;Forest Green;#228B22;#114411;2.6142
4;Royal Purple;#800080;#400040;7.7723
5;Sunny Yellow;#FFFF00;#FAFACB;1.0778
7;Candy Pink;#FF69B4;#AA3355;1.9226
8;Electric Blue;#00FFFF;#005555;1.5875
9;Fiery Red;#FF4500;#552200;2.9120
10;Snow White;#FFFFFF;#AAAAAA;1.0000
11;Midnight Blue;#191970;#0A0A2A;9.7495
12;Lime Green;#32CD32;#116611;1.7809
13;Magenta Dream;#FF00FF;#550055;4.3890
14;Citrus Orange;#FFA500;#553300;1.8742
15;Ocean Teal;#008080;#004444;2.7538
16;Lavender Mist;#E6E6FA;#AAAAFF;1.0427
17;Crimson Tide;#DC143C;#551111;4.3876
18;Golden Glow;#FFD700;#AAAA00;1.1621
19;Turquoise Wave;#40E0D0;#116666;1.5582
20;Rose Blossom;#FF007F;#550033;4.9920
21;Slate Gray;#708090;#444455;2.1797
22;Amber Light;#FFBF00;#554400;1.6504
23;Coral Reef;#FF7F50;#552233;2.1586
24;Indigo Night;#4B0082;#220044;11.3427
25;Mint Fresh;#98FF98;#33AA33;1.1748
26;Peachy Keen;#FFDAB9;#AA7744;1.2155
27;Sapphire Shine;#0F52BA;#052A55;3.7777
28;Ruby Red;#E0115F;#550022;4.8758
29;Cobalt Blue;#0047AB;#002255;4.5416
30;Emerald Isle;#50C878;#227744;1.5980
31;Sunrise Pink;#FFB6C1;#AA5566;1.4044
33;Buttercup Yellow;#FFFACD;#AAAA55;1.0324
34;Periwinkle Blue;#F5F5F8;#6565F6;1.4223
35;Crimson Red;#DC143C;#551111;4.3876
36;Olive Green;#808000;#444400;2.3371
37;Sky Blue;#87CEEB;#4488AA;1.3407
38;Plum Purple;#DDA0DD;#AA55AA;1.4830
39;Sunset Orange;#FF4500;#552200;2.9120
40;Ice White;#F0F8FF;#AAAAFF;1.0049
41;Lemon Yellow;#FFF44F;#AAAA22;1.0770
42;Inner White Outer Red;#FFFFFF;#FF0000;1.3745
43;Deep Thing;#1482FF;#7A17FF;2.4088
